source_type,platform,video_id,conversation_title,thread_path,source_file,item_timestamp,item_date,actor_username,actor_display_name,full_text,ai_input_text,lookup_key,comment,comment_full,content,is_message_request,thread_participants,raw_record_json,post_id,timestamp,username,extra_lines_count
comment,instagram,DY24X6mymnN,,,comments\instagram-comments-DY24X6mymnN.csv,2026-05-28,2026-05-28,latterday_auntie,latterday_auntie,You’re doing awesome! Totally sharing this with my nieces & nephews! 🔥,You’re doing awesome! Totally sharing this with my nieces & nephews! 🔥,comment||DY24X6mymnN||||latterday_auntie||latterday_auntie||2026-05-28||You’re doing awesome! Totally sharing this with my nieces & nephews! 🔥,You’re doing awesome! Totally sharing this with my nieces & nephews! 🔥,You’re doing awesome! Totally sharing this with my nieces & nephews! 🔥 | 2wReply,,,,"{""comment"": ""You’re doing awesome! Totally sharing this with my nieces & nephews! 🔥"", ""comment_full"": ""You’re doing awesome! Totally sharing this with my nieces & nephews! 🔥 | 2wReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY24X6mymnN"", ""timestamp"": ""2026-05-28"", ""username"": ""latterday_auntie""}",DY24X6mymnN,2026-05-28,latterday_auntie,1
comment,instagram,DY24X6mymnN,,,comments\instagram-comments-DY24X6mymnN.csv,2026-05-28,2026-05-28,parkerndent,parkerndent,🔥,🔥,comment||DY24X6mymnN||||parkerndent||parkerndent||2026-05-28||🔥,🔥,🔥 | 2wReply,,,,"{""comment"": ""🔥"", ""comment_full"": ""🔥 | 2wReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY24X6mymnN"", ""timestamp"": ""2026-05-28"", ""username"": ""parkerndent""}",DY24X6mymnN,2026-05-28,parkerndent,1
comment,instagram,DY24X6mymnN,,,comments\instagram-comments-DY24X6mymnN.csv,2026-05-28,2026-05-28,spencer_hansen12,spencer_hansen12,🔥🔥🔥,🔥🔥🔥,comment||DY24X6mymnN||||spencer_hansen12||spencer_hansen12||2026-05-28||🔥🔥🔥,🔥🔥🔥,🔥🔥🔥 | 2wReply,,,,"{""comment"": ""🔥🔥🔥"", ""comment_full"": ""🔥🔥🔥 | 2wReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY24X6mymnN"", ""timestamp"": ""2026-05-28"", ""username"": ""spencer_hansen12""}",DY24X6mymnN,2026-05-28,spencer_hansen12,1
comment,instagram,DY24X6mymnN,,,comments\instagram-comments-DY24X6mymnN.csv,2026-05-29,2026-05-29,tanaka.matare.33,tanaka.matare.33,It's not on Google,It's not on Google,comment||DY24X6mymnN||||tanaka.matare.33||tanaka.matare.33||2026-05-29||It's not on Google,It's not on Google,It's not on Google | 2wReply,,,,"{""comment"": ""It's not on Google"", ""comment_full"": ""It's not on Google | 2wReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY24X6mymnN"", ""timestamp"": ""2026-05-29"", ""username"": ""tanaka.matare.33""}",DY24X6mymnN,2026-05-29,tanaka.matare.33,1
comment,instagram,DY24X6mymnN,,,comments\instagram-comments-DY24X6mymnN.csv,2026-05-29,2026-05-29,walk_mann172,walk_mann172,Other languages please!! I want to practice my reading comprehension in French with the scriptures!,Other languages please!! I want to practice my reading comprehension in French with the scriptures!,comment||DY24X6mymnN||||walk_mann172||walk_mann172||2026-05-29||Other languages please!! I want to practice my reading comprehension in French with the scriptures!,Other languages please!! I want to practice my reading comprehension in French with the scriptures!,Other languages please!! I want to practice my reading comprehension in French with the scriptures! | 2w1 likeReply,,,,"{""comment"": ""Other languages please!! I want to practice my reading comprehension in French with the scriptures!"", ""comment_full"": ""Other languages please!! I want to practice my reading comprehension in French with the scriptures! | 2w1 likeReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY24X6mymnN"", ""timestamp"": ""2026-05-29"", ""username"": ""walk_mann172""}",DY24X6mymnN,2026-05-29,walk_mann172,1
comment,instagram,DY24X6mymnN,,,comments\instagram-comments-DY24X6mymnN.csv,2026-06-09,2026-06-09,jarquibr,jarquibr,I really want to use it on my pixel (android),I really want to use it on my pixel (android),comment||DY24X6mymnN||||jarquibr||jarquibr||2026-06-09||I really want to use it on my pixel (android),I really want to use it on my pixel (android),I really want to use it on my pixel (android) | 5dReply,,,,"{""comment"": ""I really want to use it on my pixel (android)"", ""comment_full"": ""I really want to use it on my pixel (android) | 5dReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY24X6mymnN"", ""timestamp"": ""2026-06-09"", ""username"": ""jarquibr""}",DY24X6mymnN,2026-06-09,jarquibr,1
comment,instagram,DY24X6mymnN,,,comments\instagram-comments-DY24X6mymnN.csv,2026-06-11,2026-06-11,sar.bear.it,sar.bear.it,I want the app to show my total days. Not start over every 7 days. I want to show I have been going for 14+. Days without missing,I want the app to show my total days. Not start over every 7 days. I want to show I have been going for 14+. Days without missing,comment||DY24X6mymnN||||sar.bear.it||sar.bear.it||2026-06-11||I want the app to show my total days. Not start over every 7 days. I want to show I have been going for 14+. Days without missing,I want the app to show my total days. Not start over every 7 days. I want to show I have been going for 14+. Days without missing,I want the app to show my total days. Not start over every 7 days. I want to show I have been going for 14+. Days without missing | 3dReply,,,,"{""comment"": ""I want the app to show my total days. Not start over every 7 days. I want to show I have been going for 14+. Days without missing"", ""comment_full"": ""I want the app to show my total days. Not start over every 7 days. I want to show I have been going for 14+. Days without missing | 3dReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY24X6mymnN"", ""timestamp"": ""2026-06-11"", ""username"": ""sar.bear.it""}",DY24X6mymnN,2026-06-11,sar.bear.it,1
comment,instagram,DY6GFyhylzl,,,comments\instagram-comments-DY6GFyhylzl.csv,2026-05-29,2026-05-29,acjpbe,acjpbe,"Great job, Evan (& Evan’s mom!)","Great job, Evan (& Evan’s mom!)","comment||DY6GFyhylzl||||acjpbe||acjpbe||2026-05-29||Great job, Evan (& Evan’s mom!)","Great job, Evan (& Evan’s mom!)","Great job, Evan (& Evan’s mom!) | 2w5 likesReply",,,,"{""comment"": ""Great job, Evan (& Evan’s mom!)"", ""comment_full"": ""Great job, Evan (& Evan’s mom!) | 2w5 likesReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY6GFyhylzl"", ""timestamp"": ""2026-05-29"", ""username"": ""acjpbe""}",DY6GFyhylzl,2026-05-29,acjpbe,1
comment,instagram,DY6GFyhylzl,,,comments\instagram-comments-DY6GFyhylzl.csv,2026-05-29,2026-05-29,becky6d,becky6d,When does it come to android?,When does it come to android?,comment||DY6GFyhylzl||||becky6d||becky6d||2026-05-29||When does it come to android?,When does it come to android?,When does it come to android? | 2w32 likesReply,,,,"{""comment"": ""When does it come to android?"", ""comment_full"": ""When does it come to android? | 2w32 likesReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY6GFyhylzl"", ""timestamp"": ""2026-05-29"", ""username"": ""becky6d""}",DY6GFyhylzl,2026-05-29,becky6d,1
comment,instagram,DY6GFyhylzl,,,comments\instagram-comments-DY6GFyhylzl.csv,2026-05-29,2026-05-29,bruthagee,bruthagee,Gold brother 🔥🔥✌🏽,Gold brother 🔥🔥✌🏽,comment||DY6GFyhylzl||||bruthagee||bruthagee||2026-05-29||Gold brother 🔥🔥✌🏽,Gold brother 🔥🔥✌🏽,Gold brother 🔥🔥✌🏽 | 2w1 likeReply,,,,"{""comment"": ""Gold brother 🔥🔥✌🏽"", ""comment_full"": ""Gold brother 🔥🔥✌🏽 | 2w1 likeReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY6GFyhylzl"", ""timestamp"": ""2026-05-29"", ""username"": ""bruthagee""}",DY6GFyhylzl,2026-05-29,bruthagee,1
