"post_id","timestamp","username","comment","comment_full","extra_lines_count"
"DYgEBAIyQow","2026-05-20","jarednielson_","Love this app! A widgets would be cool so you can remember your streak","Love this app! A widgets would be cool so you can remember your streak | 3w1 likeReply","1"
"DYgEBAIyQow","2026-05-21","spjutaustin","I got a suggestion for your app. You should make it so it can turn into a widget so it is always on my home screen. Just a suggestion, and I love the app by the way great idea ￼￼","I got a suggestion for your app. You should make it so it can turn into a widget so it is always on my home screen. Just a suggestion, and I love the app by the way great idea ￼￼ | 3w21 likesReply","1"
"DYgEBAIyQow","2026-05-23","imj.enna_","This is actually so cool! Instant download and follow","This is actually so cool! Instant download and follow | 3wReply","1"
"DYgEBAIyQow","2026-06-04","carlos_moren","Brochacho if it could read it for me would be legit! Like duo","Brochacho if it could read it for me would be legit! Like duo | 1wReply","1"
"DYgEBAIyQow","2026-05-22","ajcasutt","Bro I sent it to everyone","Bro I sent it to everyone | 3wReply","1"
"DYgEBAIyQow","2026-05-21","carriganlb_78","Do you have Persian? No one really does and I want the spirit in my studies","Do you have Persian? No one really does and I want the spirit in my studies | 3wReply","1"
"DYgEBAIyQow","2026-05-21","brin_bale","this is so genius fr","this is so genius fr | 3wReply","1"
"DYgEBAIyQow","2026-05-19","rjdavis_offical","Hey dude way to go. This is tough and you are doing the lords work","Hey dude way to go. This is tough and you are doing the lords work | 3w4 likesReply","1"
"DYgEBAIyQow","2026-05-29","thelifeof_camilaaa","Is it in the Spanish language as well ??","Is it in the Spanish language as well ?? | 2wReply","1"
"DYgEBAIyQow","2026-05-21","tess_198o","Android avalibility?","Android avalibility? | 3wReply","1"
"DYgEBAIyQow","2026-05-22","cmikos","Android please. I'll test","Android please. I'll test | 3wReply","1"
"DYgEBAIyQow","2026-05-19","sloosle","Nany More church members use android than iOS, please port to android.","Nany More church members use android than iOS, please port to android. | 3wReply","1"
