"post_id","timestamp","username","comment","comment_full","extra_lines_count"
"DYBLw5aSykv","2026-06-18","rectherapymom","Cool!","Cool! | 3w1 likeReply","1"
"DYBLw5aSykv","2026-06-21","rectherapymom","@rectherapymom got my streak of 4 days so far!🙌","@rectherapymom got my streak of 4 days so far!🙌 | 3wReply","1"
